x,y,nx,ny,h,bnd_ident
-1.66533e-16,-0.994522,0.0,-1.0,0.4,1
0.989074,0.103956,0.994522,0.104528,0.4,1
-0.989074,-0.103956,-0.994522,-0.104528,0.4,1
0.945847,0.307324,0.951057,0.309017,0.4,1
0.739074,-0.665465,0.743145,-0.669131,0.4,1
0.861281,0.497261,0.866025,0.5,0.4,1
-0.945847,-0.307324,-0.951057,-0.309017,0.4,1
0.739074,0.665465,0.743145,0.669131,0.4,1
0.206773,-0.972789,0.207912,-0.978148,0.4,1
0.584565,0.804585,0.587785,0.809017,0.4,1
-0.861281,-0.497261,-0.866025,-0.5,0.4,1
0.404509,0.908541,0.406737,0.913545,0.4,1
0.945847,-0.307324,0.951057,-0.309017,0.4,1
0.206773,0.972789,0.207912,0.978148,0.4,1
-0.739074,-0.665465,-0.743145,-0.669131,0.4,1
6.93889e-17,0.994522,5.31063e-16,1.0,0.4,1
0.404509,-0.908541,0.406737,-0.913545,0.4,1
-0.206773,0.972789,-0.207912,0.978148,0.4,1
-0.584565,-0.804585,-0.587785,-0.809017,0.4,1
-0.404509,0.908541,-0.406737,0.913545,0.4,1
0.861281,-0.497261,0.866025,-0.5,0.4,1
-0.584565,0.804585,-0.587785,0.809017,0.4,1
-0.404509,-0.908541,-0.406737,-0.913545,0.4,1
-0.739074,0.665465,-0.743145,0.669131,0.4,1
0.584565,-0.804585,0.587785,-0.809017,0.4,1
-0.861281,0.497261,-0.866025,0.5,0.4,1
-0.206773,-0.972789,-0.207912,-0.978148,0.4,1
-0.945847,0.307324,-0.951057,0.309017,0.4,1
0.989074,-0.103956,0.994522,-0.104528,0.4,1
-0.989074,0.103956,-0.994522,0.104528,0.4,1
0.793791,0.257918,0.841573,0.540143,0.4,0
-0.0291279,0.0252089,0.976567,0.215213,0.4,0
0.846325,0.0889523,0.99368,-0.112251,0.4,0
0.698674,0.0312578,-0.0821361,-0.996621,0.4,0
0.664083,0.16688,0.182904,-0.983131,0.4,0
0.559723,0.360486,-0.941755,0.3363,0.4,0
0.455954,0.499232,0.893714,0.448637,0.4,0
0.342026,0.580229,0.401432,-0.915889,0.4,0
0.191765,0.643074,-0.0723187,0.997382,0.4,0
0.0336206,0.666247,0.805745,-0.592262,0.4,0
-0.0965512,0.667151,0.876017,0.48228,0.4,0
-0.232346,0.633696,0.787531,0.616276,0.4,0
-0.446413,0.496471,-0.847094,-0.531442,0.4,0
